time_hms,kb_per_sec_in,kb_per_sec_out
13:00:22,0.0,0.0
13:00:23,0.0,0.0
13:00:24,0.0,0.0
13:00:25,0.0,0.0
13:00:26,0.0,0.4
13:00:27,0.0,0.0
13:00:28,0.0,0.0
13:00:29,0.0,0.1
13:00:30,0.0,0.0
13:00:31,0.0,0.0
13:00:32,0.0,0.0
13:00:33,0.0,0.0
13:00:34,0.0,0.0
13:00:35,0.0,0.0
13:00:36,0.0,0.0
13:00:37,0.0,0.0
13:00:38,0.0,0.0
13:00:39,0.0,0.0
13:00:40,0.0,0.0
13:00:41,0.0,0.1
13:00:42,0.0,0.0
13:00:43,0.0,0.0
13:00:44,0.0,0.0
13:00:45,0.0,0.0
13:00:46,0.0,0.0
13:00:47,0.0,0.0
13:00:48,0.0,0.0
13:00:49,0.0,0.0
13:00:50,0.0,0.0
13:00:51,0.0,0.0
13:00:52,0.0,0.0
13:00:53,0.0,0.0
13:00:54,0.0,0.0
13:00:55,0.0,0.0
13:00:56,0.0,0.0
13:00:57,0.0,0.0
13:00:58,0.0,0.0
13:00:59,0.0,0.0
13:01:00,0.0,0.0
13:01:01,0.0,0.0
13:01:02,0.0,0.0
13:01:03,0.0,0.0
13:01:04,0.0,0.0
13:01:05,0.0,0.0
13:01:06,0.0,0.0
13:01:07,0.0,0.0
13:01:08,0.0,0.0
13:01:09,0.0,0.0
13:01:10,0.0,0.0
13:01:11,0.0,0.0
13:01:12,0.0,0.0
13:01:13,0.0,0.0
13:01:14,0.0,0.0
13:01:15,0.0,0.0
13:01:16,0.0,0.0
13:01:17,0.0,0.0
13:01:18,0.0,0.0
13:01:19,0.0,0.0
13:01:20,0.0,0.0
13:01:21,0.0,0.0
13:01:22,0.0,0.0
13:01:23,0.0,0.0
13:01:24,0.0,0.0
13:01:25,0.0,0.0
13:01:26,0.0,0.0
13:01:27,0.0,0.0
13:01:28,0.0,0.0
13:01:29,0.0,0.0
13:01:30,0.0,0.0
13:01:31,0.0,0.0
13:01:32,0.0,0.0
13:01:33,0.0,0.0
13:01:34,0.0,0.0
13:01:35,0.0,0.0
13:01:36,0.0,0.0
13:01:37,0.0,0.0
13:01:38,0.0,0.0
13:01:39,0.0,0.0
13:01:40,0.0,0.0
13:01:41,0.0,0.0
13:01:42,0.0,0.0
13:01:43,0.0,0.0
13:01:44,0.0,0.0
